Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-073,1997,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79,Matches
34,Harrison Armstrong,eng ENG,MF,Everton,18-095,2007,0.5,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0,Matches
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-203,1994,26.0,912,670,886,25,1,1,912,1,1,100.0,0,0.0,521,2599,1477,0,0,0,0,0,406,0,Matches
36,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-093,1996,5.3,267,4,25,108,139,22,265,13,7,53.8,5,38.5,165,910,464,15,18,3,5,7,183,23,Matches
37,Brandon Austin,eng ENG,GK,Tottenham,26-106,1999,1.0,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,Matches
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-255,1997,4.2,159,5,15,72,73,21,159,8,3,37.5,5,62.5,88,388,183,6,5,2,17,19,110,19,Matches
39,Yasin Ayari,se SWE,MF,Brighton,21-200,2003,18.3,1040,49,235,524,297,42,1040,40,17,42.5,14,35.0,539,2758,1268,27,23,6,32,21,665,56,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-225,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-225,1991,14.6,649,18,89,331,251,46,648,52,19,36.5,27,51.9,389,2649,1195,38,30,7,51,31,434,68,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-029,2001,3.7,336,31,138,186,13,0,336,1,0,0.0,1,100.0,177,660,340,3,5,0,1,0,247,2,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-258,1997,12.6,539,18,76,155,318,69,539,57,22,38.6,24,42.1,344,2540,1334,57,22,33,35,25,386,121,Matches
44,Carlos Baleba,cm CMR,MF,Brighton,21-111,2004,24.7,1423,67,330,846,285,10,1423,51,30,58.8,18,35.3,805,4734,2449,39,39,2,34,33,864,26,Matches
45,Ross Barkley,eng ENG,MF,Aston Villa,31-140,1993,6.3,438,16,69,260,115,18,438,10,8,80.0,2,20.0,259,1400,643,14,13,2,6,8,308,9,Matches
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-136,1997,14.9,619,15,82,211,331,91,619,53,20,37.7,26,49.1,430,3240,1852,68,37,38,22,17,489,143,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,25-114,1999,30.2,2154,293,1069,999,108,16,2154,28,13,46.4,9,32.1,1382,6763,3839,25,15,4,30,8,1491,12,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-010,1998,1.0,66,58,64,2,0,0,66,0,0,,0,,45,163,59,0,0,0,0,0,43,0,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-012,1996,25.1,1917,345,1001,883,40,15,1917,3,3,100.0,0,0.0,976,3508,1615,4,5,1,9,3,1229,1,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-134,2001,3.7,263,33,147,115,3,1,263,1,0,0.0,1,100.0,186,936,326,0,0,0,1,0,192,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-301,1998,16.4,718,23,126,325,283,41,718,58,13,22.4,31,53.4,442,2764,1345,46,34,10,36,23,496,80,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-303,1997,16.9,1252,70,299,747,215,24,1252,18,8,44.4,8,44.4,739,3433,1446,26,23,5,18,19,826,34,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-285,1993,1.0,35,30,35,0,0,0,35,0,0,,0,,18,102,32,0,0,0,0,0,14,0,Matches
54,Sander Berge,no NOR,MF,Fulham,27-069,1998,21.9,1225,75,342,709,180,13,1225,20,11,55.0,6,30.0,712,3819,1722,25,20,2,11,15,781,8,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-081,2006,12.5,845,34,176,456,226,20,845,44,21,47.7,19,43.2,510,3279,1580,31,21,4,19,18,562,29,Matches
