Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
139,Nasser Djiga,bf BFA,"DF,FW",Wolves,22-160,2002,0.2,16,2,8,8,0,0,16,0,0,,0,,7,25,0,0,0,0,1,2,7,1,Matches
140,Matt Doherty,ie IRL,DF,Wolves,33-098,1992,20.2,1312,110,507,647,175,25,1312,20,11,55.0,6,30.0,693,3213,1953,29,19,4,11,5,822,39,Matches
141,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-332,2002,14.5,878,4,42,205,654,122,878,175,98,56.0,49,28.0,678,6412,4066,176,83,80,51,50,729,235,Matches
142,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-300,1998,18.0,1020,68,260,533,236,24,1020,8,3,37.5,3,37.5,378,1529,750,12,10,2,18,9,554,24,Matches
143,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-180,2004,5.5,351,11,99,118,136,20,351,5,2,40.0,2,40.0,199,1099,719,21,10,3,8,7,224,44,Matches
144,Alfie Dorrington,eng ENG,DF,Tottenham,20-004,2005,0.2,16,0,11,5,0,0,16,0,0,,0,,12,61,26,0,0,0,0,0,13,0,Matches
145,Abdoulaye Doucouré,ml MLI,MF,Everton,32-113,1993,25.9,1055,31,213,481,376,56,1055,41,23,56.1,18,43.9,559,2768,1301,38,22,8,32,34,680,88,Matches
146,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-106,2000,5.0,263,11,56,165,45,4,263,5,2,40.0,2,40.0,133,581,280,2,7,1,4,7,160,7,Matches
147,Flynn Downes,eng ENG,MF,Southampton,26-094,1999,18.9,1094,74,326,583,194,20,1094,14,5,35.7,7,50.0,524,2861,1519,23,20,4,12,17,781,28,Matches
148,Tommy Doyle,eng ENG,MF,Wolves,23-189,2001,5.4,463,22,128,258,80,4,463,9,5,55.6,1,11.1,260,1417,578,6,3,0,9,4,303,4,Matches
149,Radu Drăgușin,ro ROU,DF,Tottenham,23-080,2002,13.9,961,148,510,430,30,12,961,2,0,0.0,0,0.0,623,3349,1666,7,3,0,8,2,669,2,Matches
150,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-099,1989,10.0,350,262,337,14,0,0,350,0,0,,0,,202,1043,643,0,0,0,0,0,175,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
151,Lewis Dunk,eng ENG,DF,Brighton,33-154,1991,21.1,1981,238,935,951,105,18,1981,1,0,0.0,1,100.0,1250,5796,3161,20,18,0,6,3,1455,3,Matches
152,Jáder Durán,co COL,FW,Aston Villa,21-132,2003,7.1,263,13,36,110,122,47,263,14,3,21.4,9,64.3,133,535,267,7,7,2,16,15,192,44,Matches
153,Ederson,br BRA,GK,Manchester City,31-250,1993,21.8,833,587,824,9,0,0,833,0,0,,0,,563,2612,1671,0,0,0,1,0,529,0,Matches
154,George Edmundson,eng ENG,DF,Ipswich Town,27-236,1997,0.0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0,Matches
155,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-098,1998,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7,Matches
156,Odsonne Édouard,fr FRA,FW,Leicester City,27-098,1998,0.3,20,1,2,7,11,6,20,2,1,50.0,1,50.0,11,25,2,0,0,1,7,2,13,2,Matches
157,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-086,2003,0.7,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336,197,6,2,4,4,0,39,23,Matches
158,Ronnie Edwards,eng ENG,DF,Southampton,22-027,2003,0.1,6,3,4,2,0,0,6,0,0,,0,,3,10,0,0,0,0,0,0,5,0,Matches
159,Anthony Elanga,se SWE,FW,Nott'ham Forest,22-362,2002,22.8,900,29,124,259,533,86,900,73,22,30.1,34,46.6,468,3650,2071,79,41,36,65,35,592,164,Matches
160,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-020,2003,2.0,202,2,19,85,99,13,202,5,2,40.0,3,60.0,120,534,256,7,7,5,2,4,153,23,Matches
161,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-104,2006,0.4,46,0,7,22,17,0,46,2,0,0.0,2,100.0,15,61,40,1,1,1,3,3,24,1,Matches
162,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-091,2004,6.1,269,3,35,139,105,12,269,36,20,55.6,14,38.9,135,893,507,12,14,4,14,23,181,28,Matches
163,Julio Enciso,py PAR,"MF,FW",Brighton,21-091,2004,3.3,202,2,17,72,116,20,202,21,10,47.6,8,38.1,114,678,386,11,10,4,7,9,141,17,Matches
164,Wataru Endo,jp JPN,MF,Liverpool,32-074,1993,1.7,114,4,25,72,18,2,114,1,1,100.0,0,0.0,48,174,47,0,0,1,5,2,72,1,Matches
165,Christian Eriksen,dk DEN,MF,Manchester Utd,33-069,1992,11.0,771,24,160,375,240,12,771,3,0,0.0,3,100.0,421,1509,662,10,10,0,11,5,511,28,Matches
166,Romain Esse,eng ENG,MF,Crystal Palace,19-346,2005,0.4,24,0,5,5,14,6,24,2,0,0.0,2,100.0,14,41,4,0,0,0,1,0,16,6,Matches
167,Pervis Estupiñán,ec ECU,DF,Brighton,27-093,1998,22.7,1620,67,408,809,420,28,1620,28,14,50.0,13,46.4,853,4155,2216,53,46,8,28,24,977,101,Matches
168,Evanilson,br BRA,FW,Bournemouth,25-200,1999,21.1,462,22,47,172,246,112,461,19,6,31.6,7,36.8,267,1443,695,25,14,14,30,21,322,86,Matches
169,Jake Evans,,FW,Leicester City,,,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
170,Jonny Evans,nir NIR,DF,Manchester Utd,37-111,1988,3.2,223,30,125,91,11,2,223,1,1,100.0,0,0.0,128,498,183,1,0,0,1,0,137,2,Matches
171,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-299,1998,26.0,1289,15,172,611,537,86,1288,125,61,48.8,57,45.6,771,4674,2196,66,43,21,52,44,840,141,Matches
172,Łukasz Fabiański,pl POL,GK,West Ham,40-006,1985,11.9,488,382,483,5,0,0,488,2,2,100.0,0,0.0,258,1371,845,0,0,0,0,0,227,0,Matches
173,Wout Faes,be BEL,DF,Leicester City,27-021,1998,26.3,1579,256,774,747,66,26,1579,5,4,80.0,1,20.0,906,4230,2500,12,12,2,16,6,1031,1,Matches
174,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-047,2004,6.4,326,19,73,114,157,26,326,69,29,42.0,28,40.6,217,1869,1055,42,24,15,18,12,216,60,Matches
175,João Félix,pt POR,"FW,MF",Chelsea,25-165,1999,4.1,272,2,26,128,125,30,272,31,10,32.3,14,45.2,193,1248,712,21,13,5,6,4,218,30,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
176,Evan Ferguson,ie IRL,FW,West Ham,20-187,2004,1.6,62,1,6,27,29,10,62,5,3,60.0,2,40.0,31,123,41,1,1,1,8,5,40,6,Matches
177,Evan Ferguson,ie IRL,FW,Brighton,20-187,2004,2.7,88,7,13,50,26,9,88,2,1,50.0,1,50.0,42,183,56,2,1,2,5,6,52,9,Matches
178,Bruno Fernandes,pt POR,MF,Manchester Utd,30-228,1994,29.6,2297,59,385,1086,848,70,2294,64,27,42.2,31,48.4,1331,6249,3256,62,58,11,35,37,1605,114,Matches
179,Mateus Fernandes,pt POR,MF,Southampton,20-288,2004,27.8,1529,53,319,750,496,44,1529,94,43,45.7,43,45.7,796,5190,2859,71,64,8,47,30,953,97,Matches
180,Enzo Fernández,ar ARG,MF,Chelsea,24-097,2001,27.8,1963,32,300,997,679,73,1963,43,21,48.8,15,34.9,1074,5024,2489,56,52,8,26,26,1442,107,Matches
181,Mark Flekken,nl NED,GK,Brentford,31-315,1993,31.4,1616,1261,1569,52,0,0,1616,1,1,100.0,0,0.0,987,4966,2803,0,0,0,3,0,905,0,Matches
182,Phil Foden,eng ENG,"MF,FW",Manchester City,24-331,2000,18.7,1074,13,81,374,628,79,1074,39,13,33.3,21,53.8,676,3472,1674,47,30,15,35,30,840,119,Matches
183,Wesley Fofana,fr FRA,DF,Chelsea,24-128,2000,13.0,933,81,370,523,55,10,933,15,8,53.3,3,20.0,557,3149,1614,19,12,1,16,5,665,4,Matches
184,Carlos Forbs,pt POR,"MF,FW",Wolves,21-036,2004,2.6,117,3,20,38,60,13,117,12,7,58.3,5,41.7,72,435,297,9,3,8,7,4,82,28,Matches
185,Fraser Forster,eng ENG,GK,Tottenham,37-038,1988,7.0,228,212,228,0,0,0,228,1,1,100.0,0,0.0,113,501,264,0,0,0,1,0,94,0,Matches
186,Matheus França,br BRA,"FW,MF",Crystal Palace,21-023,2004,0.3,15,0,0,5,10,4,15,0,0,,0,,9,43,25,1,1,1,1,0,10,2,Matches
187,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-059,1994,3.4,131,12,45,50,37,3,131,3,2,66.7,1,33.3,74,492,252,10,5,2,4,2,94,18,Matches
188,Tyler Fredricson,eng ENG,DF,Manchester Utd,20-060,2005,1.0,76,6,27,42,7,1,76,1,1,100.0,0,0.0,40,161,82,2,1,0,0,0,54,0,Matches
189,Niclas Füllkrug,de GER,FW,West Ham,32-074,1993,6.0,174,13,16,86,73,32,174,4,1,25.0,3,75.0,68,268,141,5,3,2,11,4,122,21,Matches
190,Cody Gakpo,nl NED,FW,Liverpool,25-352,1999,17.3,728,20,67,208,467,83,728,47,27,57.4,15,31.9,489,3402,1711,45,27,18,37,18,551,237,Matches
191,Idrissa Gana Gueye,sn SEN,MF,Everton,35-210,1989,29.1,1522,66,371,859,300,19,1522,35,17,48.6,16,45.7,707,3256,1417,23,24,4,27,33,866,21,Matches
192,Andrés García,es ESP,"DF,MF",Aston Villa,22-076,2003,3.5,256,8,38,108,112,2,256,18,5,27.8,12,66.7,159,1262,673,26,13,2,10,6,168,28,Matches
193,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-297,2004,21.8,1033,13,118,329,603,152,1033,82,24,29.3,51,62.2,748,5713,2922,130,66,63,57,46,793,260,Matches
194,James Garner,eng ENG,"MF,DF",Everton,24-042,2001,12.7,665,29,169,316,186,9,665,14,6,42.9,8,57.1,301,1309,462,9,12,1,10,7,341,22,Matches
195,Tyrique George,eng ENG,FW,Chelsea,19-079,2006,1.1,55,1,10,13,33,8,55,4,3,75.0,1,25.0,38,348,208,9,1,5,1,0,43,17,Matches
196,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-087,2000,26.4,1382,32,166,695,543,83,1382,73,29,39.7,34,46.6,778,4492,2303,63,46,12,66,37,1037,115,Matches
197,Billy Gilmour,sct SCO,MF,Brighton,23-317,2001,1.1,73,2,14,46,13,0,73,2,1,50.0,1,50.0,44,210,117,2,0,0,0,0,58,2,Matches
198,Ben Godfrey,eng ENG,DF,Ipswich Town,27-099,1998,1.2,63,3,22,32,9,1,63,0,0,,0,,33,202,79,2,2,0,2,1,40,1,Matches
199,Martial Godo,eng ENG,FW,Fulham,22-041,2003,0.2,11,0,1,4,6,3,11,2,0,0.0,2,100.0,8,48,18,0,0,0,0,0,6,3,Matches
200,João Gomes,br BRA,MF,Wolves,24-071,2001,28.9,1715,55,369,940,429,38,1715,54,25,46.3,23,42.6,898,5216,2482,51,48,6,35,47,1139,63,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
201,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-291,2003,7.0,329,22,79,113,143,25,329,12,3,25.0,6,50.0,167,1125,671,21,15,7,15,7,191,62,Matches
202,Toti Gomes,pt POR,DF,Wolves,26-098,1999,24.0,1617,196,765,781,90,15,1617,25,17,68.0,6,24.0,937,4591,2503,21,17,0,16,12,1084,12,Matches
203,Diego Gómez,py PAR,MF,Brighton,22-028,2003,4.8,334,18,77,182,79,5,334,12,6,50.0,6,50.0,157,571,253,5,3,0,6,9,200,13,Matches
204,Joe Gomez,eng ENG,DF,Liverpool,27-336,1997,5.8,481,54,183,264,37,5,481,0,0,,0,,303,1638,947,5,2,1,1,2,335,2,Matches
205,Nicolás González,es ESP,MF,Manchester City,23-111,2002,7.2,635,13,98,397,143,7,635,6,1,16.7,3,50.0,386,1606,615,5,9,1,7,10,484,10,Matches
206,Anthony Gordon,eng ENG,FW,Newcastle Utd,24-059,2001,24.2,1142,16,114,434,613,123,1140,95,35,36.8,44,46.3,735,5467,2937,108,54,55,28,35,820,190,Matches
207,Ryan Gravenberch,nl NED,MF,Liverpool,22-343,2002,31.5,2119,103,429,1243,474,23,2119,70,33,47.1,26,37.1,1257,6561,3302,62,70,9,45,19,1515,54,Matches
208,Archie Gray,eng ENG,"DF,MF",Tottenham,19-043,2006,15.0,1117,133,542,507,78,2,1117,9,4,44.4,4,44.4,788,3612,1492,5,5,0,7,10,849,15,Matches
209,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-226,1995,8.0,519,14,40,162,324,71,519,29,13,44.8,9,31.0,375,2879,1714,69,23,46,10,16,422,118,Matches
210,Jacob Greaves,eng ENG,DF,Ipswich Town,24-224,2000,19.5,1099,234,601,440,62,15,1099,2,1,50.0,1,50.0,521,2220,925,6,9,0,7,2,690,5,Matches
211,Brajan Gruda,de GER,"FW,MF",Brighton,20-328,2004,5.5,252,4,32,88,134,30,252,21,8,38.1,9,42.9,148,1011,458,15,16,9,8,20,167,46,Matches
212,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-336,2001,1.6,38,2,9,14,15,2,38,4,0,0.0,4,100.0,18,79,15,1,0,1,5,4,21,3,Matches
213,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-146,1996,8.6,366,4,42,161,176,28,366,20,5,25.0,11,55.0,223,1693,878,31,19,5,33,14,247,58,Matches
214,Marc Guéhi,eng ENG,DF,Crystal Palace,24-285,2000,32.0,1992,292,986,880,137,31,1992,14,11,78.6,2,14.3,1061,5263,2801,22,17,1,17,16,1241,8,Matches
215,Luis Guilherme,br BRA,"MF,FW",West Ham,19-074,2006,1.5,85,3,19,30,37,4,85,9,5,55.6,2,22.2,42,324,136,3,3,1,4,3,55,13,Matches
216,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-159,1997,31.4,1885,71,392,985,529,60,1885,68,31,45.6,21,30.9,1226,6708,2947,49,38,9,50,72,1412,75,Matches
217,Marc Guiu,es ESP,FW,Chelsea,19-110,2006,0.8,22,0,2,8,12,3,22,1,0,0.0,1,100.0,12,30,8,0,0,0,2,0,12,3,Matches
218,İlkay Gündoğan,de GER,MF,Manchester City,34-182,1990,21.9,1707,43,254,825,648,56,1707,35,16,45.7,13,37.1,1016,5677,2735,55,52,9,25,23,1330,81,Matches
219,Malo Gusto,fr FRA,DF,Chelsea,21-340,2003,20.2,1553,57,375,752,438,42,1553,15,4,26.7,10,66.7,861,4331,2170,48,35,8,16,17,1047,84,Matches
220,Joško Gvardiol,hr CRO,DF,Manchester City,23-091,2002,32.4,2808,141,703,1412,716,85,2808,40,23,57.5,14,35.0,1826,9690,5505,78,91,13,24,16,2062,96,Matches
221,Erling Haaland,no NOR,FW,Manchester City,24-277,2000,27.6,578,22,39,200,344,170,575,32,11,34.4,19,59.4,272,1310,478,19,14,19,39,25,427,103,Matches
222,Lewis Hall,eng ENG,DF,Newcastle Utd,20-228,2004,24.3,1820,95,623,804,414,47,1820,21,11,52.4,7,33.3,950,4398,2358,41,22,13,33,20,1094,80,Matches
223,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-054,2002,1.5,53,2,6,20,30,9,53,7,4,57.1,3,42.9,29,187,111,4,3,4,7,4,36,14,Matches
224,Marcus Harness,eng ENG,MF,Ipswich Town,29-059,1996,0.5,22,4,7,2,13,3,22,1,0,0.0,1,100.0,9,49,14,0,0,0,0,0,9,1,Matches
225,Jack Harrison,eng ENG,FW,Everton,28-155,1996,20.3,836,30,141,290,412,62,836,71,22,31.0,41,57.7,458,2723,1382,60,29,14,47,36,538,114,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
226,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-084,2002,27.5,2207,290,1021,1032,163,38,2207,3,3,100.0,0,0.0,1278,6008,3548,28,27,0,13,5,1607,8,Matches
227,Kai Havertz,de GER,"FW,MF",Arsenal,25-317,1999,20.4,768,31,88,282,403,103,768,38,9,23.7,24,63.2,411,1957,922,34,23,18,42,22,575,110,Matches
228,Ayden Heaven,eng ENG,DF,Manchester Utd,18-214,2006,1.1,67,21,42,23,3,1,67,2,2,100.0,0,0.0,42,245,122,1,1,0,2,1,40,1,Matches
229,Jan Paul van Hecke,nl NED,DF,Brighton,24-320,2000,28.9,2316,246,987,1196,153,30,2316,10,4,40.0,4,40.0,1536,9643,6643,53,41,0,12,7,1628,5,Matches
230,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-088,1996,7.2,260,9,41,98,123,23,260,13,2,15.4,11,84.6,150,927,426,15,5,7,13,10,172,40,Matches
231,Dean Henderson,eng ENG,GK,Crystal Palace,28-043,1997,34.0,1173,954,1169,3,1,1,1173,0,0,,0,,674,4045,1919,0,0,0,2,0,509,0,Matches
232,Rico Henry,eng ENG,DF,Brentford,27-290,1997,0.2,20,2,8,9,3,0,20,2,0,0.0,1,50.0,8,48,8,0,0,0,2,1,6,1,Matches
233,Mads Hermansen,dk DEN,GK,Leicester City,24-287,2000,25.5,1106,800,1065,43,0,0,1106,1,1,100.0,0,0.0,706,3514,1850,0,0,0,1,0,597,0,Matches
234,Son Heung-min,kr KOR,FW,Tottenham,32-290,1992,22.3,1093,15,110,347,646,117,1091,82,29,35.4,40,48.8,732,4522,2334,87,45,40,25,29,837,259,Matches
235,James Hill,eng ENG,DF,Bournemouth,23-104,2002,5.0,319,19,99,167,54,8,319,2,1,50.0,1,50.0,146,552,295,3,6,0,2,0,179,8,Matches
236,Jack Hinshelwood,eng ENG,"DF,MF",Brighton,20-013,2005,17.7,1036,47,293,479,269,25,1036,9,1,11.1,7,77.8,494,2071,998,16,18,1,16,2,641,44,Matches
237,George Hirst,sct SCO,FW,Ipswich Town,26-068,1999,5.0,147,10,22,52,75,21,147,4,2,50.0,1,25.0,83,450,198,9,2,6,18,11,127,25,Matches
238,Mason Holgate,eng ENG,"FW,DF",Everton,28-184,1996,0.1,3,0,0,2,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,1,0,Matches
239,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-168,2000,23.4,988,14,107,316,590,72,988,62,36,58.1,18,29.0,617,5215,3301,126,61,45,44,23,751,186,Matches
240,Will Hughes,eng ENG,MF,Crystal Palace,30-007,1995,20.8,1070,41,253,551,278,14,1070,14,4,28.6,6,42.9,469,2417,1120,18,22,1,19,24,595,24,Matches
241,Dean Huijsen,es ESP,DF,Bournemouth,20-010,2005,22.8,1672,217,764,799,118,29,1672,5,2,40.0,3,60.0,910,5763,3569,35,23,0,16,1,1024,10,Matches
242,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-176,2003,24.7,1061,12,168,450,463,74,1061,114,45,39.5,54,47.4,645,4832,2288,71,35,30,68,55,748,131,Matches
243,Rasmus Højlund,dk DEN,FW,Manchester Utd,22-079,2003,18.4,422,5,28,211,190,56,422,28,8,28.6,18,64.3,263,1334,619,26,13,16,56,27,335,82,Matches
244,Igor,br BRA,DF,Brighton,27-076,1998,10.0,764,109,377,353,38,1,764,4,3,75.0,1,25.0,497,2837,1782,9,14,0,1,0,568,0,Matches
245,Danny Ings,eng ENG,"FW,MF",West Ham,32-275,1992,3.2,139,2,15,51,73,27,139,7,4,57.1,2,28.6,63,324,118,6,0,2,6,6,96,29,Matches
246,Tim Iroegbunam,eng ENG,MF,Everton,21-298,2003,6.3,255,21,80,122,59,12,255,20,8,40.0,8,40.0,121,723,360,8,10,2,10,18,110,9,Matches
247,Andy Irving,sct SCO,MF,West Ham,24-346,2000,1.8,150,7,37,89,24,0,150,1,1,100.0,0,0.0,73,305,137,0,1,0,1,3,104,4,Matches
248,Alexander Isak,se SWE,FW,Newcastle Utd,25-215,1999,26.8,896,19,52,337,521,166,894,85,42,49.4,42,49.4,541,3379,1700,76,40,42,59,50,632,192,Matches
249,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-356,1996,29.3,1631,31,222,660,774,103,1631,83,42,50.6,37,44.6,1159,7025,3894,128,94,37,54,38,1270,214,Matches
250,Nicolas Jackson,sn SEN,FW,Chelsea,23-308,2001,22.5,622,19,44,252,334,135,622,55,17,30.9,28,50.9,373,2320,1241,44,24,29,59,36,456,114,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
251,Reece James,eng ENG,"DF,MF",Chelsea,25-137,1999,9.0,744,32,209,415,125,4,744,16,6,37.5,6,37.5,390,1540,717,6,4,0,6,5,468,9,Matches
252,Vitaly Janelt,de GER,MF,Brentford,26-349,1998,25.0,1289,118,418,574,306,32,1289,12,3,25.0,7,58.3,652,3011,1278,17,18,3,16,10,814,38,Matches
253,Vitezslav Jaros,cz CZE,GK,Liverpool,23-275,2001,0.1,8,5,8,0,0,0,8,0,0,,0,,7,29,8,0,0,0,0,0,5,0,Matches
254,Daniel Jebbison,eng ENG,FW,Bournemouth,21-254,2003,0.8,52,2,4,21,27,9,52,5,4,80.0,1,20.0,33,212,81,2,1,3,11,4,37,11,Matches
255,Mathias Jensen,dk DEN,MF,Brentford,29-113,1996,8.6,510,23,115,215,183,9,510,15,9,60.0,4,26.7,273,1176,538,6,8,0,8,6,315,26,Matches
256,Gabriel Jesus,br BRA,FW,Arsenal,28-021,1997,6.8,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,15,6,11,13,13,217,57,Matches
257,Raúl Jiménez,mx MEX,FW,Fulham,33-354,1991,22.7,846,28,100,371,388,140,843,44,18,40.9,23,52.3,475,2103,943,31,19,16,60,41,623,113,Matches
258,Kim Jisoo,kr KOR,DF,Brentford,20-121,2004,0.3,30,1,15,12,3,0,30,0,0,,0,,15,57,22,0,0,0,0,1,22,0,Matches
259,João Pedro,br BRA,"FW,MF",Brighton,23-210,2001,21.6,940,12,60,387,508,122,935,86,29,33.7,47,54.7,616,3821,1821,66,39,30,72,38,732,128,Matches
260,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-253,1996,26.6,1360,67,256,670,448,83,1360,46,15,32.6,28,60.9,729,3598,1786,40,26,9,39,53,934,110,Matches
261,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-090,2000,14.6,609,58,238,214,160,12,609,23,7,30.4,14,60.9,254,1470,575,16,12,3,22,17,284,32,Matches
262,Brennan Johnson,wls WAL,FW,Tottenham,23-336,2001,22.1,807,16,88,272,459,120,807,42,19,45.2,20,47.6,519,2774,1394,57,20,32,24,16,598,192,Matches
263,Sam Johnstone,eng ENG,GK,Wolves,32-030,1993,7.0,306,229,304,2,0,0,306,0,0,,0,,196,1221,756,0,0,0,0,0,179,0,Matches
264,Curtis Jones,eng ENG,"MF,DF",Liverpool,24-084,2001,15.7,1014,26,155,536,329,50,1014,16,10,62.5,5,31.3,612,2932,1318,21,14,5,22,29,759,67,Matches
265,Jorginho,it ITA,MF,Arsenal,33-125,1991,7.8,519,9,92,303,130,3,519,4,1,25.0,2,50.0,302,1498,874,12,13,0,10,9,388,6,Matches
266,Diogo Jota,pt POR,FW,Liverpool,28-141,1996,11.9,436,5,28,180,235,88,436,30,11,36.7,18,60.0,240,1423,753,36,21,20,36,21,304,85,Matches
267,James Justin,eng ENG,DF,Leicester City,27-060,1998,28.2,1676,130,588,743,355,36,1676,28,9,32.1,12,42.9,746,3114,1533,36,25,4,30,13,921,90,Matches
268,Filip Jørgensen,dk DEN,GK,Chelsea,23-008,2002,6.0,202,174,201,1,0,0,202,0,0,,0,,145,676,423,0,0,0,0,0,139,0,Matches
269,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-199,1999,4.3,231,13,71,91,72,9,231,7,3,42.9,3,42.9,124,479,183,1,0,0,6,2,144,27,Matches
270,Daichi Kamada,jp JPN,MF,Crystal Palace,28-262,1996,14.9,800,18,171,417,217,28,800,13,4,30.8,7,53.8,400,1909,937,23,17,4,13,18,514,52,Matches
271,Boubacar Kamara,fr FRA,MF,Aston Villa,25-152,1999,15.3,911,88,288,520,109,8,911,22,8,36.4,7,31.8,467,2328,1082,16,11,1,9,11,610,5,Matches
272,Michael Kayode,it ITA,DF,Brentford,20-288,2004,1.4,75,9,33,24,20,4,75,2,1,50.0,1,50.0,29,191,118,3,2,2,2,0,29,10,Matches
273,Michael Keane,eng ENG,DF,Everton,32-103,1993,9.5,426,85,241,169,18,14,426,1,0,0.0,1,100.0,189,753,236,1,1,0,1,2,240,3,Matches
274,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-152,1998,10.0,398,286,396,2,0,0,398,1,1,100.0,0,0.0,290,1131,616,0,0,0,1,0,275,0,Matches
275,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-200,1998,3.4,215,26,105,94,19,4,215,3,2,66.7,1,33.3,120,474,202,0,2,0,3,2,129,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
276,Milos Kerkez,hu HUN,DF,Bournemouth,21-168,2003,32.2,1858,101,482,782,616,57,1858,43,19,44.2,14,32.6,926,5380,3158,89,62,15,42,18,1004,161,Matches
277,Bilal El Khannouss,ma MAR,MF,Leicester City,20-349,2004,20.4,1082,16,154,560,380,27,1082,46,27,58.7,17,37.0,618,3776,1741,61,38,9,33,32,719,71,Matches
278,Abdukodir Khusanov,uz UZB,DF,Manchester City,21-054,2004,5.6,445,45,205,211,31,1,445,2,0,0.0,2,100.0,274,1155,435,1,1,0,2,1,332,2,Matches
279,Max Kilman,eng ENG,DF,West Ham,27-336,1997,32.2,2018,406,1126,812,95,28,2018,18,13,72.2,1,5.6,1056,4774,2749,28,10,2,14,2,1337,5,Matches
280,Joshua King,eng ENG,"MF,FW",Fulham,18-111,2007,0.9,54,2,8,19,28,7,54,7,4,57.1,3,42.9,22,176,70,1,3,0,1,3,36,9,Matches
