Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
29,Julian Araujo,mx MEX,DF,Bournemouth,23-254,2001,4.0,143,181,79.0,2451,767,68,76,89.5,65,77,84.4,9,22,40.9,0,0.0,0.0,0.0,0,15,1,0,14,Matches
30,Cameron Archer,eng ENG,FW,Southampton,23-277,2001,14.8,184,226,81.4,2410,337,117,136,86.0,51,56,91.1,5,9,55.6,0,0.4,0.6,-0.4,3,6,7,0,14,Matches
31,Alphonse Areola,fr FRA,GK,West Ham,32-056,1993,21.1,583,833,70.0,15548,10598,125,126,99.2,283,298,95.0,172,399,43.1,0,0.0,0.0,0.0,0,7,0,0,0,Matches
32,Joe Aribo,ng NGA,"MF,DF",Southampton,28-277,1996,21.2,878,992,88.5,13041,2506,480,526,91.3,341,375,90.9,31,45,68.9,0,1.6,1.2,-1.6,16,50,4,1,71,Matches
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-073,1997,13.9,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,+0.8,9,10,8,2,21,Matches
34,Harrison Armstrong,eng ENG,MF,Everton,18-095,2007,0.5,7,15,46.7,149,15,3,4,75.0,2,5,40.0,2,4,50.0,0,0.1,0.0,-0.1,1,1,0,0,1,Matches
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-203,1994,26.0,618,861,71.8,17014,11673,96,98,98.0,318,324,98.1,203,432,47.0,0,0.0,0.0,0.0,1,8,0,0,2,Matches
36,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-093,1996,5.3,171,213,80.3,2407,709,100,111,90.1,58,69,84.1,5,17,29.4,1,0.8,0.8,+0.2,12,14,8,2,31,Matches
37,Brandon Austin,eng ENG,GK,Tottenham,26-106,1999,1.0,22,32,68.8,526,386,7,7,100.0,9,9,100.0,6,16,37.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-255,1997,4.2,59,91,64.8,688,157,40,55,72.7,14,25,56.0,1,5,20.0,0,0.1,0.1,-0.1,2,5,2,0,7,Matches
39,Yasin Ayari,se SWE,MF,Brighton,21-200,2003,18.3,662,816,81.1,9971,2737,387,421,91.9,227,269,84.4,32,84,38.1,1,2.1,2.3,-1.1,26,45,17,4,65,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-225,1991,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-225,1991,14.6,316,437,72.3,4618,894,174,203,85.7,111,151,73.5,16,45,35.6,0,0.8,1.2,-0.8,12,20,11,6,31,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-029,2001,3.7,273,304,89.8,4820,1473,111,119,93.3,135,144,93.8,21,32,65.6,0,0.0,0.1,0.0,0,37,1,0,17,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-258,1997,12.6,273,386,70.7,4275,1048,149,183,81.4,99,122,81.1,18,38,47.4,2,1.5,2.9,+0.5,16,16,20,2,35,Matches
44,Carlos Baleba,cm CMR,MF,Brighton,21-111,2004,24.7,955,1092,87.5,16072,4144,459,494,92.9,395,433,91.2,81,127,63.8,1,1.3,1.1,-0.3,20,101,22,2,108,Matches
45,Ross Barkley,eng ENG,MF,Aston Villa,31-140,1993,6.3,322,374,86.1,5027,1179,167,189,88.4,136,148,91.9,13,19,68.4,1,0.6,0.4,+0.4,9,29,6,0,33,Matches
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-136,1997,14.9,363,460,78.9,5088,1517,233,269,86.6,114,152,75.0,11,17,64.7,4,3.4,3.9,+0.6,19,19,33,8,63,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,25-114,1999,30.2,1682,1882,89.4,29683,10289,716,755,94.8,816,869,93.9,122,202,60.4,0,0.1,0.3,-0.1,2,123,2,0,95,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-010,1998,1.0,32,61,52.5,942,540,2,2,100.0,17,20,85.0,13,39,33.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-012,1996,25.1,1472,1591,92.5,25994,8489,567,594,95.5,795,842,94.4,98,129,76.0,0,0.5,0.9,-0.5,5,70,1,0,58,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-134,2001,3.7,202,224,90.2,3829,956,65,66,98.5,119,123,96.7,16,29,55.2,0,0.0,0.0,0.0,0,6,0,0,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-301,1998,16.4,401,505,79.4,6195,1211,234,261,89.7,126,156,80.8,30,51,58.8,6,3.6,2.5,+2.4,26,27,15,7,35,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-303,1997,16.9,916,1040,88.1,14862,3593,439,482,91.1,407,439,92.7,46,61,75.4,0,0.4,1.0,-0.4,10,107,12,2,99,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-285,1993,1.0,20,34,58.8,552,422,2,2,100.0,12,12,100.0,6,20,30.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
54,Sander Berge,no NOR,MF,Fulham,27-069,1998,21.9,957,1050,91.1,17048,4062,396,432,91.7,458,486,94.2,87,104,83.7,0,0.6,0.5,-0.6,17,103,4,0,105,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-081,2006,12.5,608,689,88.2,10149,2075,290,313,92.7,252,279,90.3,50,66,75.8,1,0.6,0.8,+0.4,11,50,7,3,49,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-129,2002,26.4,1007,1297,77.6,16181,5793,510,569,89.6,411,513,80.1,65,157,41.4,1,1.4,1.7,-0.4,18,74,23,18,69,Matches
57,Beto,gw GNB,FW,Everton,27-083,1998,12.5,112,197,56.9,1537,177,66,97,68.0,30,61,49.2,7,8,87.5,0,0.8,0.3,-0.8,8,5,3,1,9,Matches
