Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
125,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33-300,1991,16.2,756,1000,75.6,12912,3720,382,449,85.1,289,377,76.7,75,129,58.1,7,7.6,5.7,-0.6,51,75,48,10,128,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
126,Liam Delap,eng ENG,FW,Ipswich Town,22-075,2003,26.2,202,330,61.2,2815,638,113,161,70.2,64,101,63.4,9,22,40.9,2,1.9,1.4,+0.1,20,16,6,0,30,Matches
127,Sepp van den Berg,nl NED,DF,Brentford,23-125,2001,23.7,876,1044,83.9,15011,4775,388,446,87.0,424,480,88.3,56,89,62.9,0,0.2,0.5,-0.2,4,55,3,1,66,Matches
128,Justin Devenny,nir NIR,MF,Crystal Palace,21-195,2003,4.8,119,168,70.8,1879,518,66,81,81.5,40,58,69.0,8,21,38.1,0,0.4,0.4,-0.4,6,15,4,1,16,Matches
129,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-230,1998,2.9,127,151,84.1,1898,319,75,82,91.5,47,56,83.9,5,9,55.6,1,1.1,0.2,-0.1,3,12,3,0,14,Matches
130,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-287,2002,17.7,658,794,82.9,9051,1880,407,450,90.4,185,217,85.3,33,63,52.4,6,3.9,3.6,+2.1,39,25,29,5,53,Matches
131,Rúben Dias,pt POR,DF,Manchester City,27-345,1997,21.2,1852,1984,93.3,31998,10291,781,806,96.9,952,990,96.2,97,146,66.4,0,0.3,0.9,-0.3,5,178,5,0,120,Matches
132,Luis Díaz,co COL,FW,Liverpool,28-101,1997,23.9,683,809,84.4,10916,2361,366,411,89.1,235,273,86.1,55,67,82.1,5,4.9,4.3,+0.1,53,43,43,6,102,Matches
133,Tyler Dibling,eng ENG,"FW,MF",Southampton,19-043,2006,18.7,456,563,81.0,6830,1420,255,282,90.4,169,198,85.4,19,43,44.2,0,1.5,1.4,-1.5,20,24,20,1,59,Matches
134,Lucas Digne,fr FRA,DF,Aston Villa,31-278,1993,24.9,924,1232,75.0,14998,4806,470,533,88.2,375,477,78.6,58,146,39.7,4,4.4,3.9,-0.4,35,43,29,18,54,Matches
135,Issa Diop,fr FRA,DF,Fulham,28-105,1997,14.9,663,758,87.5,12350,4179,233,252,92.5,379,408,92.9,46,87,52.9,0,0.1,0.1,-0.1,3,43,1,0,25,Matches
136,Axel Disasi,fr FRA,DF,Aston Villa,27-044,1998,5.4,243,280,86.8,4080,1517,103,109,94.5,131,146,89.7,8,15,53.3,0,0.4,0.3,-0.4,3,14,3,0,16,Matches
137,Axel Disasi,fr FRA,DF,Chelsea,27-044,1998,4.0,266,293,90.8,4218,1367,136,144,94.4,117,126,92.9,9,13,69.2,0,0.1,0.1,-0.1,2,20,2,0,16,Matches
138,Roman Dixon,eng ENG,DF,Everton,20-119,2004,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0,Matches
139,Nasser Djiga,bf BFA,"DF,FW",Wolves,22-160,2002,0.2,8,8,100.0,113,32,4,4,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
140,Matt Doherty,ie IRL,DF,Wolves,33-098,1992,20.2,900,1100,81.8,16696,5540,365,407,89.7,427,496,86.1,96,158,60.8,1,1.5,1.2,-0.5,11,85,13,1,73,Matches
141,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-332,2002,14.5,517,650,79.5,7264,1313,341,393,86.8,158,193,81.9,12,18,66.7,5,3.9,3.3,+1.1,25,10,41,5,62,Matches
142,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-300,1998,18.0,686,788,87.1,9888,2813,390,426,91.5,228,254,89.8,27,45,60.0,1,1.3,1.3,-0.3,13,68,8,0,63,Matches
143,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-180,2004,5.5,229,284,80.6,3162,762,150,168,89.3,67,90,74.4,6,14,42.9,0,0.4,1.0,-0.4,6,14,6,2,20,Matches
144,Alfie Dorrington,eng ENG,DF,Tottenham,20-004,2005,0.2,15,16,93.8,304,39,6,7,85.7,7,7,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
145,Abdoulaye Doucouré,ml MLI,MF,Everton,32-113,1993,25.9,657,823,79.8,9948,2071,344,405,84.9,242,291,83.2,40,54,74.1,1,2.3,1.2,-1.3,26,43,14,0,74,Matches
146,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-106,2000,5.0,174,204,85.3,2909,823,84,94,89.4,70,78,89.7,16,20,80.0,0,0.0,0.1,0.0,1,17,3,0,19,Matches
147,Flynn Downes,eng ENG,MF,Southampton,26-094,1999,18.9,821,912,90.0,12090,2432,469,505,92.9,292,316,92.4,31,46,67.4,0,0.9,1.2,-0.9,14,50,10,0,56,Matches
148,Tommy Doyle,eng ENG,MF,Wolves,23-189,2001,5.4,321,392,81.9,6591,2010,112,119,94.1,138,155,89.0,61,93,65.6,1,0.5,0.3,+0.5,7,44,3,0,40,Matches
149,Radu Drăgușin,ro ROU,DF,Tottenham,23-080,2002,13.9,716,840,85.2,13638,5250,223,245,91.0,437,470,93.0,47,107,43.9,0,0.4,0.2,-0.4,4,52,2,1,37,Matches
150,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-099,1989,10.0,265,333,79.6,5932,3082,58,58,100.0,161,161,100.0,45,112,40.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
151,Lewis Dunk,eng ENG,DF,Brighton,33-154,1991,21.1,1661,1830,90.8,30964,9988,615,638,96.4,894,942,94.9,139,222,62.6,0,0.5,1.0,-0.5,6,152,6,0,137,Matches
152,Jáder Durán,co COL,FW,Aston Villa,21-132,2003,7.1,115,163,70.6,1558,307,68,84,81.0,34,50,68.0,5,11,45.5,0,0.2,0.3,-0.2,4,10,1,0,13,Matches
153,Ederson,br BRA,GK,Manchester City,31-250,1993,21.8,693,787,88.1,17056,11243,123,123,100.0,403,410,98.3,165,251,65.7,4,1.5,0.2,+2.5,4,20,1,0,1,Matches
154,George Edmundson,eng ENG,DF,Ipswich Town,27-236,1997,0.0,1,2,50.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
155,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-098,1998,1.3,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4,Matches
156,Odsonne Édouard,fr FRA,FW,Leicester City,27-098,1998,0.3,6,8,75.0,59,5,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches
157,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-086,2003,0.7,25,33,75.8,316,67,19,21,90.5,6,7,85.7,0,3,0.0,0,0.1,0.2,-0.1,1,0,3,0,4,Matches
158,Ronnie Edwards,eng ENG,DF,Southampton,22-027,2003,0.1,5,5,100.0,109,0,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
159,Anthony Elanga,se SWE,FW,Nott'ham Forest,22-362,2002,22.8,426,652,65.3,6133,2060,259,308,84.1,110,174,63.2,35,102,34.3,9,4.4,3.9,+4.6,40,26,23,7,47,Matches
160,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-020,2003,2.0,142,177,80.2,2483,609,77,84,91.7,47,61,77.0,14,21,66.7,1,0.9,0.4,+0.1,5,13,4,0,24,Matches
161,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-104,2006,0.4,22,30,73.3,379,78,12,15,80.0,7,8,87.5,3,4,75.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
162,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-091,2004,6.1,126,177,71.2,1993,642,62,81,76.5,49,65,75.4,7,12,58.3,3,1.2,1.0,+1.8,9,12,6,0,22,Matches
163,Julio Enciso,py PAR,"MF,FW",Brighton,21-091,2004,3.3,99,150,66.0,1464,392,61,75,81.3,29,40,72.5,5,22,22.7,0,0.2,0.3,-0.2,5,13,4,1,14,Matches
164,Wataru Endo,jp JPN,MF,Liverpool,32-074,1993,1.7,81,87,93.1,1277,301,41,44,93.2,32,33,97.0,5,5,100.0,0,0.0,0.0,0.0,1,9,1,0,9,Matches
165,Christian Eriksen,dk DEN,MF,Manchester Utd,33-069,1992,11.0,543,683,79.5,9068,2809,294,319,92.2,172,215,80.0,56,114,49.1,1,2.6,2.1,-1.6,22,53,8,2,49,Matches
166,Romain Esse,eng ENG,MF,Crystal Palace,19-346,2005,0.4,12,15,80.0,172,66,8,9,88.9,3,3,100.0,1,3,33.3,0,0.1,0.1,-0.1,1,1,0,0,1,Matches
167,Pervis Estupiñán,ec ECU,DF,Brighton,27-093,1998,22.7,1154,1376,83.9,17530,5284,686,734,93.5,375,448,83.7,69,132,52.3,1,2.1,2.2,-1.1,24,84,30,18,101,Matches
168,Evanilson,br BRA,FW,Bournemouth,25-200,1999,21.1,190,276,68.8,2309,495,122,166,73.5,40,56,71.4,9,13,69.2,0,1.5,1.5,-1.5,22,14,2,0,19,Matches
169,Jake Evans,,FW,Leicester City,,,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
170,Jonny Evans,nir NIR,DF,Manchester Utd,37-111,1988,3.2,174,196,88.8,2809,784,82,87,94.3,81,90,90.0,6,12,50.0,0,0.0,0.0,0.0,0,9,1,0,8,Matches
171,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-299,1998,26.0,707,948,74.6,11848,3088,349,409,85.3,276,331,83.4,64,148,43.2,8,5.3,3.8,+2.7,53,46,32,3,85,Matches
172,Łukasz Fabiański,pl POL,GK,West Ham,40-006,1985,11.9,304,454,67.0,8756,6129,53,53,100.0,147,148,99.3,104,252,41.3,0,0.0,0.0,0.0,0,4,0,0,0,Matches
173,Wout Faes,be BEL,DF,Leicester City,27-021,1998,26.3,1115,1285,86.8,20623,7094,430,461,93.3,591,625,94.6,91,177,51.4,0,0.1,0.4,-0.1,4,73,6,0,72,Matches
174,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-047,2004,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,+0.4,6,7,7,2,17,Matches
175,João Félix,pt POR,"FW,MF",Chelsea,25-165,1999,4.1,171,199,85.9,2588,663,95,105,90.5,62,68,91.2,10,15,66.7,1,1.0,0.5,0.0,6,22,8,0,26,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
176,Evan Ferguson,ie IRL,FW,West Ham,20-187,2004,1.6,26,33,78.8,317,11,20,24,83.3,5,7,71.4,0,1,0.0,0,0.3,0.3,-0.3,2,0,0,0,0,Matches
177,Evan Ferguson,ie IRL,FW,Brighton,20-187,2004,2.7,43,58,74.1,484,44,31,36,86.1,8,11,72.7,1,4,25.0,0,0.4,0.4,-0.4,3,1,0,0,1,Matches
178,Bruno Fernandes,pt POR,MF,Manchester Utd,30-228,1994,29.6,1462,1944,75.2,25699,9009,704,812,86.7,526,656,80.2,181,342,52.9,9,6.8,6.5,+2.2,77,171,63,9,264,Matches
179,Mateus Fernandes,pt POR,MF,Southampton,20-288,2004,27.8,949,1196,79.3,16118,3817,449,513,87.5,361,423,85.3,94,173,54.3,3,2.6,2.9,+0.4,30,86,21,4,127,Matches
180,Enzo Fernández,ar ARG,MF,Chelsea,24-097,2001,27.8,1360,1697,80.1,24105,6848,626,704,88.9,557,656,84.9,145,247,58.7,6,6.0,6.0,0.0,69,151,39,7,193,Matches
181,Mark Flekken,nl NED,GK,Brentford,31-315,1993,31.4,1113,1518,73.3,32882,22467,136,139,97.8,596,612,97.4,381,760,50.1,1,0.2,0.1,+0.8,2,44,2,0,0,Matches
182,Phil Foden,eng ENG,"MF,FW",Manchester City,24-331,2000,18.7,742,883,84.0,11563,2445,443,489,90.6,224,251,89.2,62,104,59.6,2,4.7,5.1,-2.7,42,40,35,5,95,Matches
183,Wesley Fofana,fr FRA,DF,Chelsea,24-128,2000,13.0,724,803,90.2,12262,3415,306,326,93.9,385,416,92.5,26,42,61.9,0,0.4,0.2,-0.4,6,54,1,0,32,Matches
184,Carlos Forbs,pt POR,"MF,FW",Wolves,21-036,2004,2.6,56,87,64.4,739,228,36,48,75.0,18,25,72.0,1,5,20.0,0,0.0,0.1,0.0,1,2,3,1,8,Matches
185,Fraser Forster,eng ENG,GK,Tottenham,37-038,1988,7.0,168,198,84.8,3349,2105,54,55,98.2,86,90,95.6,23,47,48.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches
186,Matheus França,br BRA,"FW,MF",Crystal Palace,21-023,2004,0.3,4,8,50.0,69,35,2,3,66.7,2,4,50.0,0,0,,0,0.0,0.2,0.0,0,1,0,0,2,Matches
187,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-059,1994,3.4,77,103,74.8,1121,208,43,46,93.5,28,40,70.0,3,10,30.0,0,0.1,0.1,-0.1,2,3,1,0,8,Matches
188,Tyler Fredricson,eng ENG,DF,Manchester Utd,20-060,2005,1.0,64,69,92.8,1087,252,30,32,93.8,28,30,93.3,6,6,100.0,0,0.0,0.0,0.0,0,6,0,0,4,Matches
189,Niclas Füllkrug,de GER,FW,West Ham,32-074,1993,6.0,81,124,65.3,1088,188,51,70,72.9,22,37,59.5,3,5,60.0,2,1.9,0.3,+0.1,13,7,4,0,9,Matches
190,Cody Gakpo,nl NED,FW,Liverpool,25-352,1999,17.3,403,526,76.6,5722,1483,250,287,87.1,123,182,67.6,16,28,57.1,3,3.5,2.9,-0.5,32,22,26,8,49,Matches
191,Idrissa Gana Gueye,sn SEN,MF,Everton,35-210,1989,29.1,1030,1190,86.6,17456,4522,507,561,90.4,419,463,90.5,88,118,74.6,3,1.7,1.9,+1.3,19,126,10,3,122,Matches
192,Andrés García,es ESP,"DF,MF",Aston Villa,22-076,2003,3.5,174,201,86.6,2725,577,89,96,92.7,74,82,90.2,7,13,53.8,0,0.2,0.4,-0.2,3,9,8,5,15,Matches
193,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-297,2004,21.8,579,730,79.3,8106,1035,365,408,89.5,160,193,82.9,26,46,56.5,1,3.5,2.3,-2.5,29,19,21,3,50,Matches
194,James Garner,eng ENG,"MF,DF",Everton,24-042,2001,12.7,385,538,71.6,6687,2167,172,209,82.3,166,204,81.4,39,87,44.8,1,1.3,1.2,-0.3,11,34,5,2,33,Matches
195,Tyrique George,eng ENG,FW,Chelsea,19-079,2006,1.1,38,45,84.4,494,72,21,22,95.5,14,17,82.4,0,2,0.0,1,0.7,0.3,+0.3,5,0,1,0,2,Matches
196,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-087,2000,26.4,834,1063,78.5,12823,3949,462,544,84.9,273,333,82.0,60,102,58.8,7,4.4,4.3,+2.6,44,110,35,7,139,Matches
197,Billy Gilmour,sct SCO,MF,Brighton,23-317,2001,1.1,58,67,86.6,980,346,36,38,94.7,18,22,81.8,4,7,57.1,0,0.0,0.0,0.0,0,12,2,0,11,Matches
198,Ben Godfrey,eng ENG,DF,Ipswich Town,27-099,1998,1.2,46,55,83.6,632,232,30,33,90.9,15,17,88.2,0,0,,0,0.0,0.0,0.0,0,5,1,0,4,Matches
199,Martial Godo,eng ENG,FW,Fulham,22-041,2003,0.2,3,5,60.0,41,2,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
200,João Gomes,br BRA,MF,Wolves,24-071,2001,28.9,1180,1386,85.1,16906,4306,693,762,90.9,359,418,85.9,61,101,60.4,1,1.1,1.8,-0.1,20,105,21,1,142,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
201,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-291,2003,7.0,161,243,66.3,2382,841,93,120,77.5,58,84,69.0,6,22,27.3,0,0.8,0.7,-0.8,11,10,12,4,24,Matches
202,Toti Gomes,pt POR,DF,Wolves,26-098,1999,24.0,1148,1356,84.7,19312,6838,517,566,91.3,537,585,91.8,72,146,49.3,1,0.9,0.5,+0.1,7,68,5,3,64,Matches
203,Diego Gómez,py PAR,MF,Brighton,22-028,2003,4.8,199,251,79.3,3039,725,112,131,85.5,72,86,83.7,10,21,47.6,0,0.5,0.8,-0.5,5,12,4,1,18,Matches
204,Joe Gomez,eng ENG,DF,Liverpool,27-336,1997,5.8,377,425,88.7,6689,2299,155,170,91.2,191,204,93.6,26,42,61.9,0,0.1,0.1,-0.1,2,29,0,0,35,Matches
205,Nicolás González,es ESP,MF,Manchester City,23-111,2002,7.2,520,560,92.9,7739,1760,301,314,95.9,203,219,92.7,10,14,71.4,0,0.1,0.5,-0.1,1,48,4,0,46,Matches
206,Anthony Gordon,eng ENG,FW,Newcastle Utd,24-059,2001,24.2,642,884,72.6,9893,3273,358,417,85.9,217,280,77.5,48,115,41.7,5,4.9,4.8,+0.1,49,59,49,16,91,Matches
207,Ryan Gravenberch,nl NED,MF,Liverpool,22-343,2002,31.5,1560,1754,88.9,23289,5730,855,925,92.4,599,652,91.9,57,95,60.0,3,2.8,3.2,+0.2,24,135,31,1,160,Matches
208,Archie Gray,eng ENG,"DF,MF",Tottenham,19-043,2006,15.0,900,1014,88.8,15780,4890,344,372,92.5,493,530,93.0,51,83,61.4,0,0.1,0.2,-0.1,2,37,0,0,31,Matches
209,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-226,1995,8.0,381,435,87.6,5676,986,246,264,93.2,115,131,87.8,18,26,69.2,1,1.8,1.7,-0.8,24,23,16,0,52,Matches
210,Jacob Greaves,eng ENG,DF,Ipswich Town,24-224,2000,19.5,774,888,87.2,12712,4892,365,392,93.1,368,401,91.8,29,69,42.0,0,0.0,0.2,0.0,2,56,1,0,48,Matches
211,Brajan Gruda,de GER,"FW,MF",Brighton,20-328,2004,5.5,135,184,73.4,1805,603,87,105,82.9,32,45,71.1,8,21,38.1,1,0.7,0.6,+0.3,12,7,10,1,17,Matches
212,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-336,2001,1.6,13,18,72.2,135,43,9,11,81.8,2,4,50.0,0,0,,0,0.0,0.0,0.0,1,2,0,0,1,Matches
213,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-146,1996,8.6,186,256,72.7,3117,789,95,113,84.1,73,96,76.0,13,29,44.8,4,1.1,0.6,+2.9,11,13,16,5,30,Matches
214,Marc Guéhi,eng ENG,DF,Crystal Palace,24-285,2000,32.0,1375,1652,83.2,26393,10870,509,559,91.1,708,798,88.7,147,264,55.7,2,1.2,1.3,+0.8,12,127,11,3,127,Matches
215,Luis Guilherme,br BRA,"MF,FW",West Ham,19-074,2006,1.5,47,56,83.9,727,154,30,31,96.8,13,15,86.7,4,7,57.1,0,0.1,0.1,-0.1,3,3,3,2,3,Matches
216,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-159,1997,31.4,1251,1523,82.1,20578,6766,623,689,90.4,491,563,87.2,99,172,57.6,6,5.6,4.8,+0.4,43,150,60,5,227,Matches
217,Marc Guiu,es ESP,FW,Chelsea,19-110,2006,0.8,11,16,68.8,110,4,9,13,69.2,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
218,İlkay Gündoğan,de GER,MF,Manchester City,34-182,1990,21.9,1374,1539,89.3,21191,3984,784,832,94.2,476,517,92.1,86,138,62.3,5,2.7,3.7,+2.3,36,93,21,2,113,Matches
219,Malo Gusto,fr FRA,DF,Chelsea,21-340,2003,20.2,1168,1352,86.4,19089,4800,571,613,93.1,502,569,88.2,68,111,61.3,1,1.2,1.8,-0.2,20,107,18,6,118,Matches
220,Joško Gvardiol,hr CRO,DF,Manchester City,23-091,2002,32.4,2240,2464,90.9,36418,9874,1082,1147,94.3,1042,1119,93.1,95,140,67.9,0,2.0,2.8,-2.0,25,225,19,1,240,Matches
221,Erling Haaland,no NOR,FW,Manchester City,24-277,2000,27.6,225,341,66.0,2706,532,156,221,70.6,50,75,66.7,4,6,66.7,3,2.8,1.8,+0.2,26,9,7,1,18,Matches
222,Lewis Hall,eng ENG,DF,Newcastle Utd,20-228,2004,24.3,1300,1592,81.7,21999,8891,653,715,91.3,525,617,85.1,104,202,51.5,4,4.3,3.7,-0.3,34,114,17,5,123,Matches
223,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-054,2002,1.5,25,30,83.3,278,29,20,23,87.0,5,7,71.4,0,0,,0,0.1,0.0,-0.1,2,0,0,0,3,Matches
224,Marcus Harness,eng ENG,MF,Ipswich Town,29-059,1996,0.5,10,16,62.5,89,23,9,11,81.8,0,1,0.0,0,1,0.0,0,0.0,0.1,0.0,0,0,2,0,2,Matches
225,Jack Harrison,eng ENG,FW,Everton,28-155,1996,20.3,363,572,63.5,5743,2109,209,257,81.3,107,154,69.5,31,94,33.0,0,3.7,3.1,-3.7,31,25,23,9,43,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
226,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-084,2002,27.5,1707,1935,88.2,31673,11310,625,670,93.3,918,999,91.9,150,233,64.4,0,1.0,0.6,-1.0,14,165,9,0,112,Matches
227,Kai Havertz,de GER,"FW,MF",Arsenal,25-317,1999,20.4,401,511,78.5,4833,1010,281,334,84.1,94,114,82.5,5,11,45.5,3,2.4,1.7,+0.6,16,26,8,1,59,Matches
228,Ayden Heaven,eng ENG,DF,Manchester Utd,18-214,2006,1.1,40,49,81.6,695,185,14,17,82.4,24,27,88.9,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
229,Jan Paul van Hecke,nl NED,DF,Brighton,24-320,2000,28.9,1795,2041,87.9,35321,13506,624,671,93.0,959,1031,93.0,200,305,65.6,1,1.5,1.3,-0.5,13,202,16,4,209,Matches
230,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-088,1996,7.2,159,195,81.5,2061,395,107,123,87.0,40,47,85.1,4,5,80.0,0,0.1,0.3,-0.1,3,7,4,2,12,Matches
231,Dean Henderson,eng ENG,GK,Crystal Palace,28-043,1997,34.0,672,1087,61.8,18530,12212,161,162,99.4,319,321,99.4,188,599,31.4,0,0.1,0.1,-0.1,2,20,1,0,0,Matches
232,Rico Henry,eng ENG,DF,Brentford,27-290,1997,0.2,8,13,61.5,127,106,4,7,57.1,4,5,80.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
233,Mads Hermansen,dk DEN,GK,Leicester City,24-287,2000,25.5,626,1033,60.6,16429,11953,144,147,98.0,296,312,94.9,186,569,32.7,0,0.0,0.0,0.0,0,20,1,0,1,Matches
234,Son Heung-min,kr KOR,FW,Tottenham,32-290,1992,22.3,703,890,79.0,9833,2671,437,487,89.7,192,240,80.0,36,75,48.0,9,8.2,5.1,+0.8,50,36,51,6,104,Matches
235,James Hill,eng ENG,DF,Bournemouth,23-104,2002,5.0,159,245,64.9,3098,1094,51,67,76.1,85,110,77.3,21,58,36.2,1,0.3,0.3,+0.7,3,20,6,0,16,Matches
236,Jack Hinshelwood,eng ENG,"DF,MF",Brighton,20-013,2005,17.7,745,899,82.9,11324,2759,435,476,91.4,242,289,83.7,50,96,52.1,1,1.2,1.4,-0.2,12,29,8,2,55,Matches
237,George Hirst,sct SCO,FW,Ipswich Town,26-068,1999,5.0,51,96,53.1,604,175,36,55,65.5,10,22,45.5,1,2,50.0,1,0.3,0.1,+0.7,3,1,4,0,11,Matches
238,Mason Holgate,eng ENG,"FW,DF",Everton,28-184,1996,0.1,2,2,100.0,55,0,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
239,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-168,2000,23.4,660,804,82.1,9651,1957,390,424,92.0,203,248,81.9,40,80,50.0,2,2.7,2.6,-0.7,44,35,30,10,66,Matches
240,Will Hughes,eng ENG,MF,Crystal Palace,30-007,1995,20.8,658,865,76.1,10532,3689,333,376,88.6,259,313,82.7,44,120,36.7,3,2.7,2.3,+0.3,29,69,14,3,82,Matches
241,Dean Huijsen,es ESP,DF,Bournemouth,20-010,2005,22.8,1120,1333,84.0,22710,9019,355,398,89.2,602,659,91.4,152,245,62.0,1,2.0,1.5,-1.0,14,138,7,2,107,Matches
242,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-176,2003,24.7,581,742,78.3,9129,1609,292,331,88.2,247,292,84.6,29,55,52.7,2,2.5,1.6,-0.5,23,43,20,9,69,Matches
243,Rasmus Højlund,dk DEN,FW,Manchester Utd,22-079,2003,18.4,210,272,77.2,2255,432,151,181,83.4,36,49,73.5,3,4,75.0,0,1.2,0.8,-1.2,13,12,5,1,16,Matches
244,Igor,br BRA,DF,Brighton,27-076,1998,10.0,628,682,92.1,11358,3723,248,257,96.5,337,354,95.2,40,56,71.4,0,0.2,0.3,-0.2,1,35,2,1,44,Matches
245,Danny Ings,eng ENG,"FW,MF",West Ham,32-275,1992,3.2,63,92,68.5,830,126,41,49,83.7,19,29,65.5,1,5,20.0,2,1.3,0.1,+0.7,6,4,1,0,5,Matches
246,Tim Iroegbunam,eng ENG,MF,Everton,21-298,2003,6.3,109,150,72.7,1830,586,49,67,73.1,42,50,84.0,13,19,68.4,1,0.2,0.1,+0.8,3,10,1,0,14,Matches
247,Andy Irving,sct SCO,MF,West Ham,24-346,2000,1.8,109,124,87.9,1705,439,61,64,95.3,36,43,83.7,9,9,100.0,0,0.2,0.1,-0.2,1,14,1,1,9,Matches
248,Alexander Isak,se SWE,FW,Newcastle Utd,25-215,1999,26.8,441,599,73.6,6305,1440,259,314,82.5,137,177,77.4,22,35,62.9,6,4.0,3.4,+2.0,38,32,23,1,74,Matches
249,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-356,1996,29.3,995,1336,74.5,17083,5031,501,584,85.8,388,500,77.6,88,162,54.3,5,6.4,6.3,-1.4,52,100,74,15,185,Matches
250,Nicolas Jackson,sn SEN,FW,Chelsea,23-308,2001,22.5,267,358,74.6,3579,832,161,200,80.5,77,101,76.2,9,14,64.3,5,4.3,1.9,+0.7,28,21,9,1,35,Matches
