Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
32,Aaron Ramsdale,eng ENG,GK,Southampton,26-345,1998,25,25,2250,25.0,58,2.32,164,104,67.7,2,4,19,2,8.0,7,5,2,0,28.6,Matches
33,David Raya,es ESP,GK,Arsenal,29-221,1995,34,34,3060,34.0,29,0.85,106,77,75.5,18,13,3,12,35.3,3,3,0,0,0.0,Matches
34,José Sá,pt POR,GK,Wolves,32-097,1993,25,25,2250,25.0,44,1.76,104,61,61.5,10,4,11,6,24.0,5,4,1,0,20.0,Matches
35,Robert Sánchez,es ESP,GK,Chelsea,27-157,1997,27,27,2430,27.0,31,1.15,113,81,76.1,13,9,5,7,25.9,5,4,1,0,20.0,Matches
36,Matz Sels,be BEL,GK,Nott'ham Forest,33-057,1992,33,33,2970,33.0,39,1.18,146,107,74.7,18,6,9,13,39.4,2,2,0,0,0.0,Matches
37,Jason Steele,eng ENG,GK,Brighton,34-249,1990,2,2,180,2.0,1,0.50,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,Matches
38,Jakub Stolarczyk,pl POL,GK,Leicester City,24-126,2000,6,6,540,6.0,12,2.00,29,17,58.6,1,0,5,0,0.0,0,0,0,0,,Matches
39,Mark Travers,ie IRL,GK,Bournemouth,25-341,1999,5,5,450,5.0,5,1.00,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,Matches
40,Bart Verbruggen,nl NED,GK,Brighton,22-249,2002,31,31,2790,31.0,52,1.68,124,74,63.7,10,12,9,6,19.4,7,7,0,0,0.0,Matches
41,Guglielmo Vicario,it ITA,GK,Tottenham,28-199,1996,21,21,1890,21.0,27,1.29,86,60,68.6,9,2,10,4,19.0,0,0,0,0,,Matches
42,Christian Walton,eng ENG,GK,Ipswich Town,29-166,1995,6,6,540,6.0,16,2.67,33,17,57.6,1,1,4,1,16.7,2,2,0,0,0.0,Matches
43,Danny Ward,wls WAL,GK,Leicester City,31-306,1993,2,1,135,1.5,6,4.00,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
