Cluster,Pos,Gls,Ast,xG,xAG,Min,Squad
0,GK,0.0,0.20512820512820512,0.002564102564102564,0.09743589743589744,1467.3846153846155,Southampton
1,DF,1.248,1.384,1.4696,1.5584,2061.104,Aston Villa
2,FW,7.0,4.54320987654321,6.544444444444444,4.295061728395061,2041.679012345679,Arsenal
3,DF,0.8075313807531381,0.5188284518828452,0.9163179916317992,0.5945606694560669,618.6820083682009,Ipswich Town
